Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos.1,Awards,Bats,Under Mendoza Line?,20/20 Club,30/30 Club,40/40 Club,50/50 Club,60/60 Club,20/70 Club,30/70 Club,40/70 Club
Miguel Andujar,24,DH,-1.2,12,49,47,1,6,0,0,0,1,0,0,1,11,0.128,0.143,0.128,0.271,-26,0.119,-46,6,4,0,0,1,0,/D5,0,Right,No,No,No,No,No,No,No,No,No
Greg Bird*,26,1B,-0.3,10,41,35,6,6,0,0,1,1,0,0,6,16,0.171,0.293,0.257,0.55,50,0.278,66,9,1,0,0,0,0,3,0,Left,No,No,No,No,No,No,No,No,No
Troy Tulowitzki,34,SS,0.0,5,13,11,1,2,1,0,1,1,0,0,2,4,0.182,0.308,0.545,0.853,121,0.347,115,6,1,0,0,0,0,/6H,0,Right,No,No,No,No,No,No,No,No,No
James Paxton*,30,P,-0.1,3,8,5,0,0,0,0,0,1,0,0,0,5,0.0,0.0,0.0,0.0,-100,0.0,-267,0,0,0,3,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Domingo Germán,26,P,-0.1,3,8,8,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100,0.0,-129,0,1,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
J.A. Happ*,36,P,0.0,2,4,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-203,0,0,0,1,0,0,1/H,0,Left,No,No,No,No,No,No,No,No,No
CC Sabathia*,38,P,0.0,2,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0.0,-129,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Luis Cessa,27,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Chad Green*,28,P,0.0,2,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Masahiro Tanaka,30,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0.0,-123,0,0,0,0,0,0,1,AS,Right,No,No,No,No,No,No,No,No,No
Zack Britton*,31,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Left,No,No,No,No,No,No,No,No,No
Tommy Kahnle,29,P,0.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Aroldis Chapman*,31,P,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,AS,Left,No,No,No,No,No,No,No,No,No
Nestor Cortes,24,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Cory Gearrin,33,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
Adam Ottavino#,33,P,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Both,No,No,No,No,No,No,No,No,No
Joe Harvey,27,P,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,/1,0,Right,No,No,No,No,No,No,No,No,No
Jonathan Holder,26,P,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,Right,No,No,No,No,No,No,No,No,No
